Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Cameron Parish, Louisiana",22023,12.7,609,"2806 of 3146"
"Perry County, Arkansas",05105,12.7,918,"2807 of 3146"
"Pike County, Ohio",39131,12.6,2452,"2808 of 3146"
"Taylor County, Georgia",13269,12.6,715,"2809 of 3146"
"McNairy County, Tennessee",47109,12.6,2297,"2810 of 3146"
"Clare County, Michigan",26035,12.6,2835,"2811 of 3146"
"Howard County, Texas",48227,12.6,3117,"2812 of 3146"
"Marion County, Kentucky",21155,12.6,1626,"2813 of 3146"
"Schuyler County, Missouri",29197,12.6,378,"2814 of 3146"
"DeWitt County, Texas",48123,12.6,1811,"2815 of 3146"
"Jackson County, Florida",12063,12.6,4416,"2816 of 3146"
"Lincoln County, Colorado",08073,12.6,518,"2817 of 3146"
"Arenac County, Michigan",26011,12.6,1433,"2818 of 3146"
"Muhlenberg County, Kentucky",21177,12.6,2735,"2819 of 3146"
"Clay County, Arkansas",05021,12.6,1323,"2820 of 3146"
"Carter County, Kentucky",21043,12.6,2340,"2821 of 3146"
"Lawrence County, Alabama",01079,12.6,2930,"2822 of 3146"
"Amite County, Mississippi",28005,12.6,1134,"2823 of 3146"
"Clark County, Wisconsin",55019,12.6,2725,"2824 of 3146"
"Pierce County, Georgia",13229,12.6,1628,"2825 of 3146"
"Barnwell County, South Carolina",45011,12.5,1790,"2826 of 3146"
"Marion County, Ohio",39101,12.5,5807,"2827 of 3146"
"Little River County, Arkansas",05081,12.5,1090,"2828 of 3146"
"Morgan County, Kentucky",21175,12.5,1234,"2829 of 3146"
"Perry County, Illinois",17145,12.5,1931,"2830 of 3146"
"Luna County, New Mexico",35029,12.5,1926,"2831 of 3146"
"Clay County, Georgia",13061,12.5,275,"2832 of 3146"
"Washington County, Florida",12133,12.5,2238,"2833 of 3146"
"Pulaski County, Illinois",17153,12.5,487,"2834 of 3146"
"Monroe County, Ohio",39111,12.5,1264,"2835 of 3146"
"Wilcox County, Alabama",01131,12.5,889,"2836 of 3146"
"Geneva County, Alabama",01061,12.5,2331,"2837 of 3146"
"Buckingham County, Virginia",51029,12.5,1582,"2838 of 3146"
"Clarke County, Mississippi",28023,12.5,1359,"2839 of 3146"
"Escambia County, Alabama",01053,12.5,3224,"2840 of 3146"
"Red River County, Texas",48387,12.5,1112,"2841 of 3146"
"Ward County, Texas",48475,12.5,918,"2842 of 3146"
"Falls County, Texas",48145,12.4,1519,"2843 of 3146"
"Chickasaw County, Mississippi",28017,12.4,1412,"2844 of 3146"
"Monroe County, Missouri",29137,12.4,771,"2845 of 3146"
"Lander County, Nevada",32015,12.4,480,"2846 of 3146"
"Fayette County, Alabama",01057,12.4,1451,"2847 of 3146"
"Treutlen County, Georgia",13283,12.4,583,"2848 of 3146"
"Prentiss County, Mississippi",28117,12.4,2095,"2849 of 3146"
"Campbell County, Tennessee",47013,12.4,3546,"2850 of 3146"
"Larue County, Kentucky",21123,12.4,1229,"2851 of 3146"
"Hampshire County, West Virginia",54027,12.4,2116,"2852 of 3146"
"Washington County, Georgia",13303,12.3,1762,"2853 of 3146"
"Ashley County, Arkansas",05003,12.3,1703,"2854 of 3146"
"Warren County, Georgia",13301,12.3,481,"2855 of 3146"
"Wayne County, Kentucky",21231,12.3,1813,"2856 of 3146"
"Marion County, Mississippi",28091,12.3,2091,"2857 of 3146"
"Putnam County, Florida",12107,12.3,6432,"2858 of 3146"
"Apache County, Arizona",04001,12.3,5529,"2859 of 3146"
"White County, Tennessee",47185,12.3,2311,"2860 of 3146"
"Reeves County, Texas",48389,12.3,1291,"2861 of 3146"
"Greer County, Oklahoma",40055,12.3,517,"2862 of 3146"
"Williamsburg County, South Carolina",45089,12.3,2684,"2863 of 3146"
"Avoyelles Parish, Louisiana",22009,12.3,3407,"2864 of 3146"
"Benton County, Tennessee",47005,12.3,1448,"2865 of 3146"
"Carroll County, Mississippi",28015,12.2,894,"2866 of 3146"
"Fulton County, Arkansas",05049,12.2,1083,"2867 of 3146"
"Butts County, Georgia",13035,12.2,2078,"2868 of 3146"
"Atkinson County, Georgia",13003,12.2,636,"2869 of 3146"
"Clarke County, Alabama",01025,12.2,2050,"2870 of 3146"
"Calhoun County, West Virginia",54013,12.2,664,"2871 of 3146"
"Andrews County, Texas",48003,12.2,1306,"2872 of 3146"
"Russell County, Virginia",51167,12.2,2438,"2873 of 3146"
"Live Oak County, Texas",48297,12.2,1057,"2874 of 3146"
"Levy County, Florida",12075,12.2,3609,"2875 of 3146"
"Jim Wells County, Texas",48249,12.2,3131,"2876 of 3146"
"Jones County, North Carolina",37103,12.2,882,"2877 of 3146"
"Clark County, Idaho",16033,12.2,67,"2878 of 3146"
"Smith County, Mississippi",28129,12.2,1339,"2879 of 3146"
"Perry County, Ohio",39127,12.2,3005,"2880 of 3146"
"Wilcox County, Georgia",13315,12.2,775,"2881 of 3146"
"Stewart County, Georgia",13259,12.2,595,"2882 of 3146"
"Ogemaw County, Michigan",26129,12.2,1905,"2883 of 3146"
"Letcher County, Kentucky",21133,12.1,1934,"2884 of 3146"
"Franklin County, Arkansas",05047,12.1,1459,"2885 of 3146"
"Kinney County, Texas",48271,12.1,359,"2886 of 3146"
"Talbot County, Georgia",13263,12.1,570,"2887 of 3146"
"New Madrid County, Missouri",29143,12.1,1466,"2888 of 3146"
"Dooly County, Georgia",13093,12.1,1200,"2889 of 3146"
"Duplin County, North Carolina",37061,12.1,4828,"2890 of 3146"
"Sullivan County, Indiana",18153,12.1,1804,"2891 of 3146"
"Bullock County, Alabama",01011,12.1,856,"2892 of 3146"
"Bledsoe County, Tennessee",47007,12.0,1326,"2893 of 3146"
"Franklin County, Mississippi",28037,12.0,637,"2894 of 3146"
"Jennings County, Indiana",18079,12.0,2278,"2895 of 3146"
"La Paz County, Arizona",04012,12.0,1928,"2896 of 3146"
"Mellette County, South Dakota",46095,12.0,153,"2897 of 3146"
"Owyhee County, Idaho",16073,12.0,905,"2898 of 3146"
"Parke County, Indiana",18121,12.0,1443,"2899 of 3146"
"Deaf Smith County, Texas",48117,12.0,1318,"2900 of 3146"
"Franklin Parish, Louisiana",22041,12.0,1621,"2901 of 3146"
"Wetzel County, West Virginia",54103,12.0,1330,"2902 of 3146"
"Scott County, Indiana",18143,12.0,1966,"2903 of 3146"
"Breckinridge County, Kentucky",21027,11.9,1677,"2904 of 3146"
"Lamar County, Alabama",01075,11.9,1174,"2905 of 3146"
"Choctaw County, Alabama",01023,11.9,1113,"2906 of 3146"
"Mifflin County, Pennsylvania",42087,11.9,3869,"2907 of 3146"
"Searcy County, Arkansas",05129,11.9,689,"2908 of 3146"
"Kalkaska County, Michigan",26079,11.9,1512,"2909 of 3146"
"Bethel Census Area, Alaska",02050,11.9,1164,"2910 of 3146"
"Haskell County, Texas",48207,11.9,476,"2911 of 3146"
"Newton County, Indiana",18111,11.9,1176,"2912 of 3146"
"Hampton County, South Carolina",45049,11.9,1633,"2913 of 3146"
"Starke County, Indiana",18149,11.9,1875,"2914 of 3146"
"Lake County, Michigan",26085,11.9,1086,"2915 of 3146"
"Polk County, Tennessee",47139,11.9,1457,"2916 of 3146"
"Dallas County, Arkansas",05039,11.9,610,"2917 of 3146"
"Livingston County, Kentucky",21139,11.8,796,"2918 of 3146"
"Calhoun County, Mississippi",28013,11.8,1163,"2919 of 3146"
"Buchanan County, Virginia",51027,11.8,1924,"2920 of 3146"
"Twiggs County, Georgia",13289,11.8,726,"2921 of 3146"
"Lafayette County, Florida",12067,11.8,698,"2922 of 3146"
"Union County, New Mexico",35059,11.7,354,"2923 of 3146"
"Jones County, Texas",48253,11.7,1724,"2924 of 3146"
"West Carroll Parish, Louisiana",22123,11.7,901,"2925 of 3146"
"Sullivan County, Missouri",29211,11.7,511,"2926 of 3146"
"Martin County, Kentucky",21159,11.7,991,"2927 of 3146"
"Turner County, Georgia",13287,11.7,650,"2928 of 3146"
"Yadkin County, North Carolina",37197,11.6,3117,"2929 of 3146"
"Elbert County, Georgia",13105,11.6,1557,"2930 of 3146"
"Okfuskee County, Oklahoma",40107,11.6,964,"2931 of 3146"
"Gallatin County, Kentucky",21077,11.6,680,"2932 of 3146"
"Evangeline Parish, Louisiana",22039,11.6,2543,"2933 of 3146"
"Adair County, Oklahoma",40001,11.6,1665,"2934 of 3146"
"Glascock County, Georgia",13125,11.6,237,"2935 of 3146"
"Zapata County, Texas",48505,11.6,933,"2936 of 3146"
"Neshoba County, Mississippi",28099,11.6,2155,"2937 of 3146"
"Johnson County, Tennessee",47091,11.6,1563,"2938 of 3146"
"Washington Parish, Louisiana",22117,11.6,3650,"2939 of 3146"
"Barbour County, Alabama",01005,11.6,2080,"2940 of 3146"
"Harrison County, Ohio",39067,11.6,1269,"2941 of 3146"
"St. Bernard Parish, Louisiana",22087,11.6,3502,"2942 of 3146"
"Pleasants County, West Virginia",54073,11.6,627,"2943 of 3146"
"Cocke County, Tennessee",47029,11.6,2980,"2944 of 3146"
"Mississippi County, Missouri",29133,11.5,1124,"2945 of 3146"
"Shoshone County, Idaho",16079,11.5,1062,"2946 of 3146"
"Benton County, Mississippi",28009,11.5,657,"2947 of 3146"
"DeSoto County, Florida",12027,11.5,3049,"2948 of 3146"
"Crawford County, Missouri",29055,11.5,1935,"2949 of 3146"
"Refugio County, Texas",48391,11.5,555,"2950 of 3146"
"Nowata County, Oklahoma",40105,11.5,827,"2951 of 3146"
"Washington County, North Carolina",37187,11.5,941,"2952 of 3146"
"Aleutians East Borough, Alaska",02013,11.5,301,"2953 of 3146"
"McDonald County, Missouri",29119,11.5,1724,"2954 of 3146"
"Perry County, Tennessee",47135,11.5,638,"2955 of 3146"
"Berrien County, Georgia",13019,11.4,1510,"2956 of 3146"
"Hancock County, Kentucky",21091,11.4,667,"2957 of 3146"
"Gaines County, Texas",48165,11.4,1295,"2958 of 3146"
"McKinley County, New Mexico",35031,11.4,5054,"2959 of 3146"
"Hart County, Kentucky",21099,11.4,1440,"2960 of 3146"
"Calhoun County, Arkansas",05013,11.4,424,"2961 of 3146"
"Bent County, Colorado",08011,11.4,517,"2962 of 3146"
"Jay County, Indiana",18075,11.4,1567,"2963 of 3146"
"Scott County, Mississippi",28123,11.4,2102,"2964 of 3146"
"Terry County, Texas",48445,11.4,910,"2965 of 3146"
"Tensas Parish, Louisiana",22107,11.4,361,"2966 of 3146"
"Tishomingo County, Mississippi",28141,11.4,1553,"2967 of 3146"
"Webster County, West Virginia",54101,11.4,699,"2968 of 3146"
"Rockcastle County, Kentucky",21203,11.4,1349,"2969 of 3146"
"Union County, South Carolina",45087,11.3,2216,"2970 of 3146"
"Walker County, Alabama",01127,11.3,5080,"2971 of 3146"
"Floyd County, Kentucky",21071,11.3,2909,"2972 of 3146"
"Okeechobee County, Florida",12093,11.3,3283,"2973 of 3146"
"Ritchie County, West Virginia",54085,11.3,815,"2974 of 3146"
"Mitchell County, Texas",48335,11.3,631,"2975 of 3146"
"Lunenburg County, Virginia",51111,11.3,1016,"2976 of 3146"
"Allen Parish, Louisiana",22003,11.3,2020,"2977 of 3146"
"Fayette County, Illinois",17051,11.3,1727,"2978 of 3146"
"Anson County, North Carolina",37007,11.3,2032,"2979 of 3146"
"San Jacinto County, Texas",48407,11.2,2244,"2980 of 3146"
"Ben Hill County, Georgia",13017,11.2,1255,"2981 of 3146"
"Hancock County, Tennessee",47067,11.2,533,"2982 of 3146"
"Terrell County, Georgia",13273,11.2,673,"2983 of 3146"
"Lee County, Virginia",51105,11.2,2015,"2984 of 3146"
"Hardeman County, Tennessee",47069,11.2,2039,"2985 of 3146"
"Menifee County, Kentucky",21165,11.2,525,"2986 of 3146"
"Wirt County, West Virginia",54105,11.2,472,"2987 of 3146"
"Glades County, Florida",12043,11.2,1139,"2988 of 3146"
"Pershing County, Nevada",32027,11.1,579,"2989 of 3146"
"Dillon County, South Carolina",45033,11.1,2258,"2990 of 3146"
"Poinsett County, Arkansas",05111,11.1,1804,"2991 of 3146"
"Union County, Kentucky",21225,11.1,1054,"2992 of 3146"
"Jackson County, Tennessee",47087,11.0,961,"2993 of 3146"
"Greene County, North Carolina",37079,11.0,1654,"2994 of 3146"
"Haywood County, Tennessee",47075,11.0,1346,"2995 of 3146"
"Mora County, New Mexico",35033,11.0,387,"2996 of 3146"
"Seward County, Kansas",20175,11.0,1421,"2997 of 3146"
"Ozark County, Missouri",29153,11.0,755,"2998 of 3146"
"Worth County, Georgia",13321,11.0,1562,"2999 of 3146"
"Owen County, Kentucky",21187,10.9,829,"3000 of 3146"
"Orange County, Indiana",18117,10.9,1481,"3001 of 3146"
"Switzerland County, Indiana",18155,10.9,791,"3002 of 3146"
"Hickman County, Tennessee",47081,10.9,1904,"3003 of 3146"
"Charlotte County, Virginia",51037,10.9,918,"3004 of 3146"
"Zavala County, Texas",48507,10.9,770,"3005 of 3146"
"Wilkinson County, Georgia",13319,10.9,678,"3006 of 3146"
"Gallatin County, Illinois",17059,10.9,402,"3007 of 3146"
"Iron County, Missouri",29093,10.8,798,"3008 of 3146"
"Harlan County, Kentucky",21095,10.8,2025,"3009 of 3146"
"Douglas County, Missouri",29067,10.8,1038,"3010 of 3146"
"Hardin County, Illinois",17069,10.8,322,"3011 of 3146"
"Lee County, Arkansas",05077,10.7,726,"3012 of 3146"
"Nye County, Nevada",32023,10.7,3668,"3013 of 3146"
"Dickenson County, Virginia",51051,10.7,1165,"3014 of 3146"
"Perry County, Mississippi",28111,10.7,878,"3015 of 3146"
"Holmes County, Florida",12059,10.7,1509,"3016 of 3146"
"Hudspeth County, Texas",48229,10.7,314,"3017 of 3146"
"Grainger County, Tennessee",47057,10.7,1774,"3018 of 3146"
"Anderson County, Texas",48001,10.6,4464,"3019 of 3146"
"Oscoda County, Michigan",26135,10.6,651,"3020 of 3146"
"Tyrrell County, North Carolina",37177,10.6,328,"3021 of 3146"
"Clay County, Alabama",01027,10.6,999,"3022 of 3146"
"Crawford County, Georgia",13079,10.5,916,"3023 of 3146"
"Grayson County, Kentucky",21085,10.5,1878,"3024 of 3146"
"Reagan County, Texas",48383,10.5,228,"3025 of 3146"
"LaGrange County, Indiana",18087,10.5,2370,"3026 of 3146"
"Bacon County, Georgia",13005,10.5,769,"3027 of 3146"
"Shannon County, South Dakota",46113,10.4,758,"3028 of 3146"
"Lewis County, Tennessee",47101,10.4,882,"3029 of 3146"
"Meriwether County, Georgia",13199,10.4,1541,"3030 of 3146"
"Dixie County, Florida",12029,10.4,1302,"3031 of 3146"
"St. Francis County, Arkansas",05123,10.4,1861,"3032 of 3146"
"Bibb County, Alabama",01007,10.4,1678,"3033 of 3146"
"Chesterfield County, South Carolina",45025,10.4,3303,"3034 of 3146"
"Macon County, Tennessee",47111,10.3,1658,"3035 of 3146"
"Crawford County, Indiana",18025,10.3,764,"3036 of 3146"
"Quitman County, Mississippi",28119,10.3,498,"3037 of 3146"
"Jeff Davis County, Georgia",13161,10.3,1002,"3038 of 3146"
"Randolph County, Georgia",13243,10.3,482,"3039 of 3146"
"Edmonson County, Kentucky",21061,10.3,903,"3040 of 3146"
"Lincoln County, Idaho",16063,10.3,345,"3041 of 3146"
"Clinton County, Kentucky",21053,10.3,731,"3042 of 3146"
"Tallahatchie County, Mississippi",28135,10.3,1009,"3043 of 3146"
"Culberson County, Texas",48109,10.2,146,"3044 of 3146"
"St. Mary Parish, Louisiana",22101,10.2,3531,"3045 of 3146"
"Hardee County, Florida",12049,10.2,1786,"3046 of 3146"
"Wright County, Missouri",29229,10.2,1253,"3047 of 3146"
"Morgan County, Ohio",39115,10.2,1066,"3048 of 3146"
"Holmes County, Mississippi",28051,10.2,1117,"3049 of 3146"
"Ripley County, Missouri",29181,10.2,968,"3050 of 3146"
"Sharp County, Arkansas",05135,10.2,1261,"3051 of 3146"
"Jackson County, Arkansas",05067,10.1,1239,"3052 of 3146"
"Greene County, Alabama",01063,10.1,586,"3053 of 3146"
"Murray County, Georgia",13213,10.1,2665,"3054 of 3146"
"Webster County, Kentucky",21233,10.0,906,"3055 of 3146"
"Clinch County, Georgia",13065,10.0,443,"3056 of 3146"
"Logan County, West Virginia",54045,10.0,2404,"3057 of 3146"
"Noble County, Ohio",39121,9.9,1097,"3058 of 3146"
"Union County, Tennessee",47173,9.9,1370,"3059 of 3146"
"Mingo County, West Virginia",54059,9.9,1707,"3060 of 3146"
"Washington County, Missouri",29221,9.9,1714,"3061 of 3146"
"Jefferson County, Georgia",13163,9.9,1052,"3062 of 3146"
"Starr County, Texas",48427,9.9,3515,"3063 of 3146"
"Estill County, Kentucky",21065,9.9,997,"3064 of 3146"
"Bradford County, Florida",12007,9.9,1959,"3065 of 3146"
"Pecos County, Texas",48371,9.8,1037,"3066 of 3146"
"Clay County, Kentucky",21051,9.8,1430,"3067 of 3146"
"Appling County, Georgia",13001,9.8,1208,"3068 of 3146"
"Meigs County, Tennessee",47121,9.8,862,"3069 of 3146"
"Lawrence County, Kentucky",21127,9.8,1056,"3070 of 3146"
"Elliott County, Kentucky",21063,9.7,539,"3071 of 3146"
"Newton County, Texas",48351,9.7,956,"3072 of 3146"
"Lincoln County, Arkansas",05079,9.7,1004,"3073 of 3146"
"Wayne County, Tennessee",47181,9.7,1202,"3074 of 3146"
"Liberty County, Texas",48291,9.7,5279,"3075 of 3146"
"Greene County, Mississippi",28041,9.7,952,"3076 of 3146"
"Echols County, Georgia",13101,9.7,271,"3077 of 3146"
"Mitchell County, Georgia",13205,9.7,1480,"3078 of 3146"
"Boone County, West Virginia",54005,9.7,1549,"3079 of 3146"
"Holmes County, Ohio",39075,9.7,2476,"3080 of 3146"
"Upton County, Texas",48461,9.6,234,"3081 of 3146"
"Wayne County, Missouri",29223,9.6,916,"3082 of 3146"
"Assumption Parish, Louisiana",22007,9.6,1485,"3083 of 3146"
"Sterling County, Texas",48431,9.5,74,"3084 of 3146"
"Calhoun County, Florida",12013,9.5,1001,"3085 of 3146"
"Magoffin County, Kentucky",21153,9.5,830,"3086 of 3146"
"Pickett County, Tennessee",47137,9.4,366,"3087 of 3146"
"Morgan County, Tennessee",47129,9.4,1462,"3088 of 3146"
"Lake County, Tennessee",47095,9.4,529,"3089 of 3146"
"Wyoming County, West Virginia",54109,9.3,1441,"3090 of 3146"
"Scott County, Arkansas",05127,9.3,652,"3091 of 3146"
"Allendale County, South Carolina",45005,9.2,585,"3092 of 3146"
"Clay County, West Virginia",54015,9.2,560,"3093 of 3146"
"Union County, Florida",12125,9.2,1032,"3094 of 3146"
"Scott County, Tennessee",47151,9.2,1376,"3095 of 3146"
"Hyde County, North Carolina",37095,9.2,350,"3096 of 3146"
"Bell County, Kentucky",21013,9.2,1733,"3097 of 3146"
"Greensville County, Virginia",51081,9.2,805,"3098 of 3146"
"Johnson County, Georgia",13167,9.1,637,"3099 of 3146"
"Calhoun County, Georgia",13037,9.1,429,"3100 of 3146"
"Lewis County, Kentucky",21135,9.1,855,"3101 of 3146"
"Crowley County, Colorado",08025,9.0,351,"3102 of 3146"
"Lincoln County, West Virginia",54043,9.0,1329,"3103 of 3146"
"Duval County, Texas",48131,9.0,639,"3104 of 3146"
"Morrow County, Oregon",41049,9.0,646,"3105 of 3146"
"Hickory County, Missouri",29085,9.0,659,"3106 of 3146"
"Bee County, Texas",48025,8.9,1966,"3107 of 3146"
"Chattooga County, Georgia",13055,8.9,1528,"3108 of 3146"
"East Carroll Parish, Louisiana",22035,8.9,435,"3109 of 3146"
"Marlboro County, South Carolina",45069,8.9,1699,"3110 of 3146"
"Nicholas County, Kentucky",21181,8.9,432,"3111 of 3146"
"Bollinger County, Missouri",29017,8.9,774,"3112 of 3146"
"Willacy County, Texas",48489,8.9,1178,"3113 of 3146"
"Brantley County, Georgia",13025,8.9,1131,"3114 of 3146"
"Charlton County, Georgia",13049,8.8,806,"3115 of 3146"
"Eureka County, Nevada",32011,8.8,118,"3116 of 3146"
"Macon County, Georgia",13193,8.8,835,"3117 of 3146"
"Heard County, Georgia",13149,8.7,705,"3118 of 3146"
"Leslie County, Kentucky",21131,8.7,638,"3119 of 3146"
"Wolfe County, Kentucky",21237,8.7,448,"3120 of 3146"
"Telfair County, Georgia",13271,8.6,1043,"3121 of 3146"
"Hancock County, Georgia",13141,8.6,567,"3122 of 3146"
"Buffalo County, South Dakota",46017,8.5,88,"3123 of 3146"
"Grant Parish, Louisiana",22043,8.5,1356,"3124 of 3146"
"Taylor County, Florida",12123,8.3,1344,"3125 of 3146"
"Hendry County, Florida",12051,8.3,2130,"3126 of 3146"
"Lee County, Kentucky",21129,8.3,410,"3127 of 3146"
"Lauderdale County, Tennessee",47097,8.3,1465,"3128 of 3146"
"Winkler County, Texas",48495,8.2,380,"3129 of 3146"
"Carroll County, Kentucky",21041,8.2,590,"3130 of 3146"
"Taliaferro County, Georgia",13265,8.1,100,"3131 of 3146"
"Forest County, Pennsylvania",42053,8.1,484,"3132 of 3146"
"Cochran County, Texas",48079,8.0,151,"3133 of 3146"
"Hamilton County, Florida",12047,7.9,823,"3134 of 3146"
"Jenkins County, Georgia",13165,7.9,461,"3135 of 3146"
"Van Buren County, Tennessee",47175,7.8,332,"3136 of 3146"
"Guadalupe County, New Mexico",35019,7.6,250,"3137 of 3146"
"La Salle County, Texas",48283,7.5,392,"3138 of 3146"
"Frio County, Texas",48163,7.3,907,"3139 of 3146"
"McCreary County, Kentucky",21147,7.2,871,"3140 of 3146"
"Quitman County, Georgia",13239,7.1,124,"3141 of 3146"
"McDowell County, West Virginia",54047,5.4,736,"3142 of 3146"
"Wade Hampton Census Area, Alaska",02270,3.9,157,"3143 of 3146"
"Issaquena County, Mississippi",28055,3.2,35,"3144 of 3146"
"Kenedy County, Texas",48261,1.0,4,"3145 of 3146"
"Loving County, Texas",48301,0.0,0,"3146 of 3146"

Created by statecancerprofiles.cancer.gov on 11/12/2021 12:04 am.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."
