Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Clay County, Illinois",17025,26.9,3513,"1937 of 3146"
"Boundary County, Idaho",16021,26.9,3142,"1936 of 3146"
"Miller County, Missouri",29131,26.9,6660,"1935 of 3146"
"Benton County, Indiana",18007,26.9,2308,"1934 of 3146"
"Marion County, Florida",12083,26.9,92339,"1933 of 3146"
"Coshocton County, Ohio",39031,26.9,9704,"1932 of 3146"
"Union County, Oregon",41061,26.9,6911,"1931 of 3146"
"Livingston County, Kentucky",21139,26.9,2459,"1930 of 3146"
"St. Francois County, Missouri",29187,26.9,16033,"1929 of 3146"
"Lake County, Colorado",08065,26.9,2052,"1928 of 3146"
"Boone County, Arkansas",05009,26.9,9846,"1927 of 3146"
"Lamar County, Mississippi",28073,26.9,16507,"1926 of 3146"
"Owen County, Indiana",18119,26.9,5503,"1925 of 3146"
"Hunt County, Texas",48231,26.8,24531,"1924 of 3146"
"Madison County, Indiana",18095,26.8,33006,"1923 of 3146"
"Nowata County, Oklahoma",40105,26.8,2714,"1922 of 3146"
"Osage County, Oklahoma",40113,26.8,12238,"1921 of 3146"
"Buchanan County, Missouri",29021,26.8,22607,"1920 of 3146"
"Pima County, Arizona",04019,26.8,267649,"1919 of 3146"
"Barber County, Kansas",20007,26.8,1220,"1918 of 3146"
"Foard County, Texas",48155,26.8,332,"1917 of 3146"
"Clarke County, Iowa",19039,26.8,2442,"1916 of 3146"
"Jackson County, Oklahoma",40065,26.8,6517,"1915 of 3146"
"Golden Valley County, Montana",30037,26.8,195,"1914 of 3146"
"Sawyer County, Wisconsin",55113,26.8,4298,"1913 of 3146"
"East Baton Rouge Parish, Louisiana",22033,26.8,116380,"1912 of 3146"
"Muskingum County, Ohio",39119,26.8,22365,"1911 of 3146"
"Allegany County, Maryland",24001,26.8,16948,"1910 of 3146"
"Pike County, Missouri",29163,26.8,4308,"1908 of 3146"
"Wexford County, Michigan",26165,26.8,8791,"1908 of 3146"
"Portsmouth City, Virginia",51740,26.8,24390,"1907 of 3146"
"Grundy County, Missouri",29079,26.8,2593,"1906 of 3146"
"Trimble County, Kentucky",21223,26.7,2261,"1905 of 3146"
"Calhoun County, Texas",48057,26.7,5710,"1904 of 3146"
"Tuscaloosa County, Alabama",01125,26.7,52624,"1903 of 3146"
"Yolo County, California",06113,26.7,55937,"1902 of 3146"
"Pottawatomie County, Oklahoma",40125,26.7,18459,"1901 of 3146"
"Montezuma County, Colorado",08083,26.7,6895,"1900 of 3146"
"Forest County, Wisconsin",55041,26.7,2338,"1899 of 3146"
"Madison County, Missouri",29123,26.7,3173,"1898 of 3146"
"Sullivan County, Tennessee",47163,26.7,41267,"1897 of 3146"
"Perry County, Ohio",39127,26.7,9468,"1896 of 3146"
"Kanawha County, West Virginia",54039,26.7,48107,"1895 of 3146"
"Lincoln County, Tennessee",47103,26.7,8909,"1894 of 3146"
"Itawamba County, Mississippi",28057,26.7,5970,"1893 of 3146"
"Massac County, Illinois",17127,26.7,3715,"1892 of 3146"
"Runnels County, Texas",48399,26.7,2652,"1891 of 3146"
"Forsyth County, North Carolina",37067,26.7,97241,"1890 of 3146"
"Aiken County, South Carolina",45003,26.7,44145,"1889 of 3146"
"Pasquotank County, North Carolina",37139,26.7,9850,"1888 of 3146"
"Crawford County, Ohio",39033,26.7,10915,"1887 of 3146"
"Pondera County, Montana",30073,26.7,1563,"1886 of 3146"
"Latah County, Idaho",16057,26.7,9689,"1885 of 3146"
"Bernalillo County, New Mexico",35001,26.6,178355,"1884 of 3146"
"Waller County, Texas",48473,26.6,12624,"1883 of 3146"
"Boyle County, Kentucky",21021,26.6,7111,"1882 of 3146"
"Van Buren County, Michigan",26159,26.6,19828,"1881 of 3146"
"Suwannee County, Florida",12121,26.6,11203,"1880 of 3146"
"Alcona County, Michigan",26001,26.6,2715,"1879 of 3146"
"Lafayette Parish, Louisiana",22055,26.6,62872,"1878 of 3146"
"McKean County, Pennsylvania",42083,26.6,10183,"1877 of 3146"
"Cuyahoga County, Ohio",39035,26.6,324428,"1876 of 3146"
"Newaygo County, Michigan",26123,26.6,12667,"1875 of 3146"
"Sutter County, California",06101,26.5,25185,"1874 of 3146"
"Orange County, Indiana",18117,26.5,5089,"1873 of 3146"
"Stanislaus County, California",06099,26.5,142786,"1872 of 3146"
"Harper County, Kansas",20077,26.5,1441,"1871 of 3146"
"San Bernardino County, California",06071,26.5,554056,"1870 of 3146"
"Gratiot County, Michigan",26057,26.5,9319,"1869 of 3146"
"Cassia County, Idaho",16031,26.5,6189,"1868 of 3146"
"Crawford County, Michigan",26039,26.5,3604,"1867 of 3146"
"Knox County, Indiana",18083,26.5,9173,"1866 of 3146"
"Bossier Parish, Louisiana",22015,26.5,32606,"1865 of 3146"
"Berrien County, Michigan",26021,26.4,39812,"1864 of 3146"
"Glynn County, Georgia",13127,26.4,21990,"1863 of 3146"
"Oklahoma County, Oklahoma",40109,26.4,203958,"1862 of 3146"
"Calhoun County, South Carolina",45017,26.4,3805,"1861 of 3146"
"McIntosh County, Georgia",13191,26.4,3689,"1860 of 3146"
"Randolph County, Alabama",01111,26.4,5846,"1859 of 3146"
"Roger Mills County, Oklahoma",40129,26.4,956,"1858 of 3146"
"Karnes County, Texas",48255,26.4,3280,"1857 of 3146"
"Nash County, North Carolina",37127,26.4,24273,"1856 of 3146"
"Kidder County, North Dakota",38043,26.4,642,"1855 of 3146"
"Schuyler County, New York",36097,26.4,4653,"1854 of 3146"
"Wadena County, Minnesota",27159,26.4,3507,"1853 of 3146"
"Hancock County, West Virginia",54029,26.4,7658,"1852 of 3146"
"Pittsylvania County, Virginia",51143,26.4,15822,"1851 of 3146"
"Cloud County, Kansas",20029,26.3,2240,"1850 of 3146"
"Douglas County, Oregon",41019,26.3,28414,"1849 of 3146"
"Treasure County, Montana",30103,26.3,176,"1848 of 3146"
"Oconee County, South Carolina",45073,26.3,20202,"1847 of 3146"
"Muskegon County, Michigan",26121,26.3,43814,"1846 of 3146"
"Pacific County, Washington",53049,26.3,5629,"1845 of 3146"
"McPherson County, Nebraska",31117,26.3,104,"1844 of 3146"
"Piute County, Utah",49031,26.3,482,"1843 of 3146"
"Stone County, Missouri",29209,26.3,8199,"1842 of 3146"
"Hardeman County, Texas",48197,26.3,1031,"1841 of 3146"
"Livingston County, Missouri",29117,26.3,3639,"1840 of 3146"
"Greensville County, Virginia",51081,26.3,2167,"1839 of 3146"
"Hampshire County, West Virginia",54027,26.3,5956,"1838 of 3146"
"Oscoda County, Michigan",26135,26.3,2145,"1837 of 3146"
"Bosque County, Texas",48035,26.3,4700,"1836 of 3146"
"Harper County, Oklahoma",40059,26.3,953,"1835 of 3146"
"Harris County, Texas",48201,26.3,1208409,"1834 of 3146"
"Starke County, Indiana",18149,26.3,5994,"1833 of 3146"
"Sanilac County, Michigan",26151,26.3,10681,"1832 of 3146"
"Union County, Mississippi",28145,26.2,7387,"1831 of 3146"
"Branch County, Michigan",26023,26.2,10764,"1830 of 3146"
"Gallatin County, Kentucky",21077,26.2,2230,"1829 of 3146"
"Bexar County, Texas",48029,26.2,503363,"1828 of 3146"
"Bradley County, Tennessee",47011,26.2,26714,"1827 of 3146"
"Cameron County, Pennsylvania",42023,26.2,1197,"1826 of 3146"
"Vanderburgh County, Indiana",18163,26.2,45720,"1825 of 3146"
"Jay County, Indiana",18075,26.2,5360,"1824 of 3146"
"Colfax County, Nebraska",31037,26.2,2662,"1823 of 3146"
"Marshall County, West Virginia",54051,26.2,8037,"1822 of 3146"
"Greenwood County, Kansas",20073,26.2,1568,"1821 of 3146"
"Suffolk County, Massachusetts",25025,26.1,196817,"1820 of 3146"
"Luce County, Michigan",26095,26.1,1378,"1819 of 3146"
"Stephens County, Oklahoma",40137,26.1,11179,"1818 of 3146"
"Hampden County, Massachusetts",25013,26.1,118491,"1817 of 3146"
"East Feliciana Parish, Louisiana",22037,26.1,4153,"1816 of 3146"
"Anderson County, Tennessee",47001,26.1,19459,"1815 of 3146"
"Boone County, Missouri",29019,26.1,43989,"1814 of 3146"
"Henry County, Indiana",18065,26.1,11672,"1813 of 3146"
"Sanpete County, Utah",49039,26.1,7026,"1812 of 3146"
"LaPorte County, Indiana",18091,26.1,26595,"1811 of 3146"
"Hopkins County, Texas",48223,26.1,9346,"1810 of 3146"
"Donley County, Texas",48129,26.1,790,"1809 of 3146"
"Benton County, Oregon",41003,26.1,22271,"1808 of 3146"
"McCracken County, Kentucky",21145,26.0,16575,"1807 of 3146"
"Rawlins County, Kansas",20153,26.0,636,"1806 of 3146"
"Carter County, Oklahoma",40019,26.0,12358,"1805 of 3146"
"Logan County, Colorado",08075,26.0,5595,"1804 of 3146"
"Chester County, Tennessee",47023,26.0,4147,"1803 of 3146"
"Marion County, Tennessee",47115,26.0,7330,"1802 of 3146"
"Caswell County, North Carolina",37033,26.0,5648,"1801 of 3146"
"Furnas County, Nebraska",31065,26.0,1205,"1800 of 3146"
"Power County, Idaho",16077,26.0,1979,"1799 of 3146"
"Richland County, Illinois",17159,26.0,4019,"1798 of 3146"
"Baraga County, Michigan",26013,26.0,1871,"1797 of 3146"
"Shasta County, California",06089,26.0,45800,"1796 of 3146"
"Ontonagon County, Michigan",26131,26.0,1508,"1795 of 3146"
"Yuba County, California",06115,26.0,19421,"1794 of 3146"
"Carter County, Missouri",29035,26.0,1558,"1793 of 3146"
"White County, Illinois",17193,26.0,3503,"1792 of 3146"
"Potter County, Pennsylvania",42105,26.0,4297,"1791 of 3146"
"Henry County, Alabama",01067,26.0,4348,"1790 of 3146"
"Maries County, Missouri",29125,26.0,2264,"1789 of 3146"
"Bear Lake County, Idaho",16007,25.9,1537,"1788 of 3146"
"Butte County, South Dakota",46019,25.9,2553,"1787 of 3146"
"Guadalupe County, New Mexico",35019,25.9,946,"1786 of 3146"
"Blue Earth County, Minnesota",27013,25.9,16409,"1785 of 3146"
"Upshur County, Texas",48459,25.9,10463,"1784 of 3146"
"Cheboygan County, Michigan",26031,25.9,6498,"1783 of 3146"
"Missaukee County, Michigan",26113,25.9,3844,"1782 of 3146"
"Smith County, Texas",48423,25.9,57491,"1781 of 3146"
"Victoria County, Texas",48469,25.9,23434,"1780 of 3146"
"Oglethorpe County, Georgia",13221,25.9,3828,"1779 of 3146"
"Webster County, Iowa",19187,25.9,8717,"1778 of 3146"
"Lamar County, Georgia",13171,25.9,4459,"1777 of 3146"
"Giles County, Tennessee",47055,25.8,7332,"1776 of 3146"
"Lawrence County, Illinois",17101,25.8,3520,"1775 of 3146"
"Mackinac County, Michigan",26097,25.8,2753,"1774 of 3146"
"Jones County, Texas",48253,25.8,3292,"1773 of 3146"
"Beauregard Parish, Louisiana",22011,25.8,9434,"1772 of 3146"
"Calhoun County, Michigan",26025,25.8,33655,"1771 of 3146"
"Jackson County, Oregon",41029,25.8,55287,"1770 of 3146"
"Covington City, Virginia",51580,25.8,1413,"1769 of 3146"
"Grant County, Nebraska",31075,25.8,177,"1768 of 3146"
"Broome County, New York",36007,25.8,47332,"1767 of 3146"
"Calhoun County, Florida",12013,25.8,3178,"1766 of 3146"
"Taylor County, Texas",48441,25.8,33675,"1765 of 3146"
"Nuckolls County, Nebraska",31129,25.8,1072,"1764 of 3146"
"Coffee County, Tennessee",47031,25.8,14057,"1763 of 3146"
"Jackson County, West Virginia",54035,25.8,7373,"1762 of 3146"
"Jefferson County, Illinois",17081,25.8,9143,"1761 of 3146"
"Oxford County, Maine",23017,25.7,14596,"1760 of 3146"
"Montgomery County, Ohio",39113,25.7,132202,"1759 of 3146"
"Gooding County, Idaho",16047,25.7,3862,"1758 of 3146"
"Madison County, North Carolina",37115,25.7,5251,"1757 of 3146"
"Clark County, Ohio",39023,25.7,33771,"1756 of 3146"
"Geary County, Kansas",20061,25.7,8458,"1755 of 3146"
"Murray County, Oklahoma",40099,25.7,3471,"1754 of 3146"
"La Salle County, Texas",48283,25.7,1660,"1753 of 3146"
"Person County, North Carolina",37145,25.7,9964,"1752 of 3146"
"Schuyler County, Illinois",17169,25.7,1746,"1751 of 3146"
"Kittitas County, Washington",53037,25.7,11124,"1750 of 3146"
"Garrard County, Kentucky",21079,25.7,4427,"1749 of 3146"
"Franklin County, Washington",53021,25.7,22968,"1748 of 3146"
"Guilford County, North Carolina",37081,25.7,130766,"1747 of 3146"
"Daviess County, Kentucky",21059,25.7,25038,"1746 of 3146"
"Marion County, Oregon",41047,25.7,84679,"1745 of 3146"
"Menard County, Texas",48327,25.7,532,"1744 of 3146"
"Richland County, South Carolina",45079,25.6,97706,"1743 of 3146"
"Hot Springs County, Wyoming",56017,25.6,1152,"1742 of 3146"
"Delta County, Texas",48119,25.6,1329,"1741 of 3146"
"Sevier County, Tennessee",47155,25.6,24506,"1740 of 3146"
"Perquimans County, North Carolina",37143,25.6,3401,"1739 of 3146"
"Gaston County, North Carolina",37071,25.6,55355,"1738 of 3146"
"Washington County, Tennessee",47179,25.6,31497,"1737 of 3146"
"Cache County, Utah",49005,25.6,31069,"1736 of 3146"
"Tuscola County, Michigan",26157,25.6,13295,"1735 of 3146"
"Beadle County, South Dakota",46005,25.6,4612,"1734 of 3146"
"Mitchell County, North Carolina",37121,25.6,3727,"1733 of 3146"
"Macon County, North Carolina",37113,25.6,8829,"1732 of 3146"
"Vernon County, Wisconsin",55123,25.6,7734,"1731 of 3146"
"St. Joseph County, Michigan",26149,25.6,15294,"1730 of 3146"
"Jefferson County, Alabama",01073,25.6,164954,"1729 of 3146"
"Oswego County, New York",36075,25.6,28883,"1728 of 3146"
"Haralson County, Georgia",13143,25.6,7340,"1727 of 3146"
"Clinton County, Ohio",39027,25.5,10361,"1726 of 3146"
"Winchester City, Virginia",51840,25.5,6843,"1725 of 3146"
"Jefferson County, Pennsylvania",42065,25.5,10976,"1724 of 3146"
"Fremont County, Colorado",08043,25.5,9221,"1723 of 3146"
"Asotin County, Washington",53003,25.5,5652,"1722 of 3146"
"Erie County, Pennsylvania",42049,25.5,66594,"1721 of 3146"
"St. John the Baptist Parish, Louisiana",22095,25.5,10853,"1720 of 3146"
"Howard County, Missouri",29089,25.5,2390,"1719 of 3146"
"Day County, South Dakota",46037,25.5,1361,"1718 of 3146"
"Horry County, South Carolina",45051,25.5,83187,"1717 of 3146"
"Gentry County, Missouri",29075,25.5,1647,"1716 of 3146"
"Beaver County, Oklahoma",40007,25.5,1341,"1715 of 3146"
"Greenup County, Kentucky",21089,25.5,8920,"1714 of 3146"
"Mason County, Michigan",26105,25.4,7262,"1713 of 3146"
"Bartow County, Georgia",13015,25.4,26319,"1712 of 3146"
"Alpena County, Michigan",26007,25.4,7119,"1711 of 3146"
"Jefferson County, Tennessee",47089,25.4,13085,"1710 of 3146"
"Jones County, Georgia",13169,25.4,7182,"1709 of 3146"
"Winnebago County, Illinois",17201,25.4,71068,"1708 of 3146"
"Reeves County, Texas",48389,25.4,3428,"1707 of 3146"
"Pierce County, North Dakota",38069,25.4,1005,"1706 of 3146"
"Fayette County, Kentucky",21067,25.3,77965,"1705 of 3146"
"Bingham County, Idaho",16011,25.3,11421,"1704 of 3146"
"Newport News City, Virginia",51700,25.3,43205,"1703 of 3146"
"Miami County, Indiana",18103,25.3,8468,"1702 of 3146"
"Hayes County, Nebraska",31085,25.3,226,"1701 of 3146"
"Johnson County, Iowa",19103,25.3,35611,"1700 of 3146"
"Ellis County, Kansas",20051,25.3,6975,"1699 of 3146"
"Iron County, Wisconsin",55051,25.3,1405,"1698 of 3146"
"Meigs County, Tennessee",47121,25.3,2995,"1697 of 3146"
"Macon County, Illinois",17115,25.3,25782,"1696 of 3146"
"Crawford County, Iowa",19047,25.3,4252,"1695 of 3146"
"Orange County, Florida",12095,25.3,332538,"1694 of 3146"
"Refugio County, Texas",48391,25.2,1759,"1693 of 3146"
"Jefferson Parish, Louisiana",22051,25.2,108785,"1692 of 3146"
"Anderson County, South Carolina",45007,25.2,49153,"1691 of 3146"
"LaFourche Parish, Louisiana",22057,25.2,24119,"1690 of 3146"
"Throckmorton County, Texas",48447,25.2,361,"1689 of 3146"
"Delta County, Michigan",26041,25.2,8944,"1688 of 3146"
"Montgomery County, Illinois",17135,25.2,6511,"1687 of 3146"
"Clinton County, Pennsylvania",42035,25.2,9370,"1686 of 3146"
"San Joaquin County, California",06077,25.2,183163,"1685 of 3146"
"Delaware County, New York",36025,25.2,10734,"1684 of 3146"
"Lauderdale County, Alabama",01077,25.2,22735,"1683 of 3146"
"Dorchester County, Maryland",24019,25.2,7969,"1682 of 3146"
"Jackson County, Mississippi",28059,25.2,35444,"1681 of 3146"
"Transylvania County, North Carolina",37175,25.2,8225,"1680 of 3146"
"Habersham County, Georgia",13137,25.1,10635,"1679 of 3146"
"Caroline County, Maryland",24011,25.1,8187,"1678 of 3146"
"Black Hawk County, Iowa",19013,25.1,31992,"1677 of 3146"
"Onslow County, North Carolina",37133,25.1,43878,"1676 of 3146"
"Scotts Bluff County, Nebraska",31157,25.1,8836,"1675 of 3146"
"Wicomico County, Maryland",24045,25.1,24746,"1674 of 3146"
"Morgan County, Alabama",01103,25.1,29379,"1673 of 3146"
"Haskell County, Kansas",20081,25.1,996,"1672 of 3146"
"Grays Harbor County, Washington",53027,25.1,17462,"1671 of 3146"
"Grant County, Wisconsin",55043,25.1,12047,"1670 of 3146"
"Sevier County, Utah",49041,25.1,5237,"1669 of 3146"
"Blount County, Alabama",01009,25.1,14321,"1668 of 3146"
"Columbia County, Washington",53013,25.1,989,"1667 of 3146"
"Essex County, New Jersey",34013,25.1,194463,"1666 of 3146"
"Sussex County, Virginia",51183,25.0,2272,"1665 of 3146"
"Page County, Virginia",51139,25.0,5895,"1664 of 3146"
"Mason County, Illinois",17125,25.0,3345,"1663 of 3146"
"Cheyenne County, Kansas",20023,25.0,655,"1662 of 3146"
"Los Angeles County, California",06037,25.0,2485925,"1661 of 3146"
"Carbon County, Utah",49007,25.0,4996,"1660 of 3146"
"Finney County, Kansas",20055,25.0,9039,"1659 of 3146"
"New Hanover County, North Carolina",37129,25.0,55323,"1658 of 3146"
"Carroll County, Missouri",29033,25.0,2165,"1657 of 3146"
"Allen Parish, Louisiana",22003,25.0,5259,"1656 of 3146"
"Stafford County, Kansas",20185,25.0,1013,"1655 of 3146"
"Linn County, Missouri",29115,25.0,2994,"1654 of 3146"
"Douglas County, Kansas",20045,25.0,28009,"1652 of 3146"
"Marshall County, Tennessee",47117,25.0,8119,"1652 of 3146"
"Cumberland County, Virginia",51049,25.0,2437,"1651 of 3146"
"Jessamine County, Kentucky",21113,25.0,12766,"1650 of 3146"
"Dade County, Georgia",13083,25.0,3703,"1649 of 3146"
"Clearfield County, Pennsylvania",42033,25.0,18500,"1648 of 3146"
"Baxter County, Arkansas",05005,25.0,10215,"1647 of 3146"
"Orleans County, New York",36073,25.0,9515,"1646 of 3146"
"Halifax County with South Boston City, Virginia",51083,25.0,8443,"1645 of 3146"
"Gem County, Idaho",16045,25.0,4291,"1644 of 3146"
"Rockbridge County, Virginia",51163,25.0,5576,"1643 of 3146"
"Fulton County, New York",36035,25.0,13087,"1642 of 3146"
"Twin Falls County, Idaho",16083,25.0,20885,"1641 of 3146"
"Valley County, Montana",30105,24.9,1836,"1640 of 3146"
"Camden County, Georgia",13039,24.9,12775,"1639 of 3146"
"Tyler County, Texas",48457,24.9,4697,"1638 of 3146"
"Uintah County, Utah",49047,24.9,8888,"1637 of 3146"
"Craven County, North Carolina",37049,24.9,24173,"1636 of 3146"
"Bates County, Missouri",29013,24.9,3965,"1635 of 3146"
"Patrick County, Virginia",51141,24.9,4317,"1634 of 3146"
"Ashe County, North Carolina",37009,24.9,6597,"1633 of 3146"
"Coryell County, Texas",48099,24.8,15030,"1632 of 3146"
"Grand Forks County, North Dakota",38035,24.8,16360,"1631 of 3146"
"Atascosa County, Texas",48013,24.8,12090,"1630 of 3146"
"Clearwater County, Idaho",16035,24.8,1921,"1629 of 3146"
"Cullman County, Alabama",01043,24.8,20254,"1628 of 3146"
"McLean County, Kentucky",21149,24.8,2271,"1627 of 3146"
"Clay County, North Carolina",37043,24.8,2709,"1626 of 3146"
"Mahaska County, Iowa",19123,24.8,5349,"1625 of 3146"
"Centre County, Pennsylvania",42027,24.8,35548,"1624 of 3146"
"St. Joseph County, Indiana",18141,24.8,63949,"1623 of 3146"
"Juneau County, Wisconsin",55057,24.8,6172,"1622 of 3146"
"Hutchinson County, Texas",48233,24.8,5250,"1621 of 3146"
"Hocking County, Ohio",39073,24.8,6878,"1620 of 3146"
"Montcalm County, Michigan",26117,24.8,15034,"1619 of 3146"
"Clearwater County, Minnesota",27029,24.8,2136,"1618 of 3146"
"Hardin County, Ohio",39065,24.8,7186,"1617 of 3146"
"Passaic County, New Jersey",34031,24.8,122895,"1616 of 3146"
"Lincoln County, Oklahoma",40081,24.8,8512,"1615 of 3146"
"Chatham County, Georgia",13051,24.8,68325,"1614 of 3146"
"Newton County, Georgia",13217,24.8,26398,"1613 of 3146"
"Sierra County, California",06091,24.8,746,"1612 of 3146"
"Des Moines County, Iowa",19057,24.7,9544,"1611 of 3146"
"Jefferson County, New York",36045,24.7,26302,"1610 of 3146"
"Mifflin County, Pennsylvania",42087,24.7,11267,"1609 of 3146"
"Sullivan County, New York",36105,24.7,17959,"1608 of 3146"
"Rusk County, Wisconsin",55107,24.7,3421,"1607 of 3146"
"Steuben County, New York",36101,24.7,23405,"1606 of 3146"
"Pontotoc County, Oklahoma",40123,24.7,9100,"1605 of 3146"
"Baker County, Oregon",41001,24.7,3815,"1604 of 3146"
"Perry County, Illinois",17145,24.7,4570,"1603 of 3146"
"Cass County, Minnesota",27021,24.7,7116,"1602 of 3146"
"Fisher County, Texas",48151,24.7,942,"1601 of 3146"
"Hernando County, Florida",12053,24.7,45303,"1600 of 3146"
"Heard County, Georgia",13149,24.6,2834,"1599 of 3146"
"Hardy County, West Virginia",54031,24.6,3362,"1598 of 3146"
"Cannon County, Tennessee",47015,24.6,3444,"1597 of 3146"
