Demographic Data Report by State
"Insurance: Percent insured in demographic group, all income levels"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2019 Small Area Health Insurance Estimates Data
Sorted by Value

State, FIPS,Value (Percent),People (Insured),Rank within US
"Pawnee County, Kansas",20145,90.5,3698,"1199 of 3139"
"Rio Blanco County, Colorado",08103,90.5,4538,"1199 of 3139"
"Sanilac County, Michigan",26151,90.5,28672,"1199 of 3139"
"Tulare County, California",06107,90.5,362166,"1199 of 3139"
"Wilson County, Tennessee",47189,90.5,109986,"1199 of 3139"
"Adams County, Nebraska",31001,90.4,21954,"1226 of 3139"
"Adams County, Ohio",39001,90.4,20131,"1226 of 3139"
"Arapahoe County, Colorado",08005,90.4,510780,"1226 of 3139"
"Boone County, Nebraska",31011,90.4,3583,"1226 of 3139"
"Braxton County, West Virginia",54007,90.4,9251,"1226 of 3139"
"Calcasieu Parish, Louisiana",22019,90.4,152922,"1226 of 3139"
"Calhoun County, Arkansas",05013,90.4,3492,"1226 of 3139"
"Clay County, Kansas",20027,90.4,5482,"1226 of 3139"
"Cloud County, Kansas",20029,90.4,5902,"1226 of 3139"
"Gallia County, Ohio",39053,90.4,21157,"1226 of 3139"
"Huntington County, Indiana",18069,90.4,26295,"1226 of 3139"
"Imperial County, California",06025,90.4,131798,"1226 of 3139"
"Little River County, Arkansas",05081,90.4,8669,"1226 of 3139"
"Mercer County, New Jersey",34021,90.4,264306,"1226 of 3139"
"Mifflin County, Pennsylvania",42087,90.4,32130,"1226 of 3139"
"Monroe County, Arkansas",05095,90.4,4477,"1226 of 3139"
"Neosho County, Kansas",20133,90.4,11121,"1226 of 3139"
"Prairie County, Arkansas",05117,90.4,5463,"1226 of 3139"
"Pueblo County, Colorado",08101,90.4,118604,"1226 of 3139"
"Red River Parish, Louisiana",22081,90.4,5987,"1226 of 3139"
"Routt County, Colorado",08107,90.4,19172,"1226 of 3139"
"Walla Walla County, Washington",53071,90.4,40380,"1226 of 3139"
"Walsh County, North Dakota",38099,90.4,7461,"1226 of 3139"
"Wythe County, Virginia",51197,90.4,20007,"1226 of 3139"
"Alcona County, Michigan",26001,90.3,5914,"1250 of 3139"
"Androscoggin County, Maine",23001,90.3,77324,"1250 of 3139"
"Brookings County, South Dakota",46011,90.3,24768,"1250 of 3139"
"Butler County, Kentucky",21031,90.3,9267,"1250 of 3139"
"Cascade County, Montana",30013,90.3,57738,"1250 of 3139"
"Clallam County, Washington",53009,90.3,47008,"1250 of 3139"
"Clare County, Michigan",26035,90.3,20806,"1250 of 3139"
"Columbia County, Arkansas",05027,90.3,15562,"1250 of 3139"
"Conway County, Arkansas",05029,90.3,14926,"1250 of 3139"
"Cross County, Arkansas",05037,90.3,11764,"1250 of 3139"
"Douglas County, Kansas",20045,90.3,89168,"1250 of 3139"
"Fresno County, California",06019,90.3,764420,"1250 of 3139"
"Garfield County, Nebraska",31071,90.3,1238,"1250 of 3139"
"Grays Harbor County, Washington",53027,90.3,49881,"1250 of 3139"
"Harding County, New Mexico",35021,90.3,343,"1250 of 3139"
"Livingston Parish, Louisiana",22063,90.3,109585,"1250 of 3139"
"Mahnomen County, Minnesota",27087,90.3,4025,"1250 of 3139"
"Mingo County, West Virginia",54059,90.3,16670,"1250 of 3139"
"Ottawa County, Kansas",20143,90.3,3984,"1250 of 3139"
"Richmond County, Virginia",51159,90.3,4993,"1250 of 3139"
"Skagit County, Washington",53057,90.3,90418,"1250 of 3139"
"St. Joseph County, Michigan",26149,90.3,44283,"1250 of 3139"
"Upshur County, West Virginia",54097,90.3,16115,"1250 of 3139"
"Allen County, Kansas",20001,90.2,8490,"1273 of 3139"
"Arkansas County, Arkansas",05001,90.2,12346,"1273 of 3139"
"Ashtabula County, Ohio",39007,90.2,67721,"1273 of 3139"
"Bartholomew County, Indiana",18005,90.2,62581,"1273 of 3139"
"Caddo Parish, Louisiana",22017,90.2,173005,"1273 of 3139"
"Concordia Parish, Louisiana",22029,90.2,12920,"1273 of 3139"
"Danville City, Virginia",51590,90.2,27069,"1273 of 3139"
"Eddy County, New Mexico",35015,90.2,44901,"1273 of 3139"
"Fayette County, Indiana",18041,90.2,16285,"1273 of 3139"
"Geauga County, Ohio",39055,90.2,66676,"1273 of 3139"
"Grant County, Indiana",18053,90.2,43500,"1273 of 3139"
"Grant County, Oregon",41023,90.2,4361,"1273 of 3139"
"Highland County, Ohio",39071,90.2,31203,"1273 of 3139"
"Jackson County, Oregon",41029,90.2,150737,"1273 of 3139"
"Jackson Parish, Louisiana",22049,90.2,10428,"1273 of 3139"
"Jennings County, Indiana",18079,90.2,20482,"1273 of 3139"
"Missaukee County, Michigan",26113,90.2,10659,"1273 of 3139"
"Morgan County, West Virginia",54065,90.2,12228,"1273 of 3139"
"Pendleton County, West Virginia",54071,90.2,4477,"1273 of 3139"
"Perry County, Arkansas",05105,90.2,7433,"1273 of 3139"
"Prince Edward County, Virginia",51147,90.2,13516,"1273 of 3139"
"Red Willow County, Nebraska",31145,90.2,7284,"1273 of 3139"
"Richardson County, Nebraska",31147,90.2,5270,"1273 of 3139"
"Riverside County, California",06065,90.2,1863541,"1273 of 3139"
"Russell County, Virginia",51167,90.2,18300,"1273 of 3139"
"Woodruff County, Arkansas",05147,90.2,4271,"1273 of 3139"
"Blackford County, Indiana",18009,90.1,8119,"1299 of 3139"
"Clearwater County, Minnesota",27029,90.1,6207,"1299 of 3139"
"Cook County, Minnesota",27031,90.1,3439,"1299 of 3139"
"Emery County, Utah",49015,90.1,7333,"1299 of 3139"
"Gunnison County, Colorado",08051,90.1,12712,"1299 of 3139"
"Howard County, Indiana",18067,90.1,58734,"1299 of 3139"
"Jackson County, Wisconsin",55053,90.1,13855,"1299 of 3139"
"Kingman County, Kansas",20095,90.1,4980,"1299 of 3139"
"Lake County, Indiana",18089,90.1,356843,"1299 of 3139"
"Lincoln County, Arkansas",05079,90.1,6743,"1299 of 3139"
"Mariposa County, California",06043,90.1,10831,"1299 of 3139"
"Oconee County, Georgia",13219,90.1,30867,"1299 of 3139"
"Pipestone County, Minnesota",27117,90.1,6395,"1299 of 3139"
"Pulaski County, Arkansas",05119,90.1,289389,"1299 of 3139"
"Russell County, Kentucky",21207,90.1,12684,"1299 of 3139"
"San Bernardino County, California",06071,90.1,1686475,"1299 of 3139"
"Sumner County, Kansas",20191,90.1,16397,"1299 of 3139"
"Weber County, Utah",49057,90.1,203795,"1299 of 3139"
"Winn Parish, Louisiana",22127,90.1,8722,"1299 of 3139"
"Augusta County, Virginia",51015,90.0,50618,"1318 of 3139"
"Boone County, Arkansas",05009,90.0,26399,"1318 of 3139"
"Bowman County, North Dakota",38011,90.0,2113,"1318 of 3139"
"Carbon County, Utah",49007,90.0,14501,"1318 of 3139"
"Cass County, Missouri",29037,90.0,78383,"1318 of 3139"
"Chippewa County, Michigan",26033,90.0,23097,"1318 of 3139"
"Curry County, Oregon",41015,90.0,13149,"1318 of 3139"
"Dinwiddie County, Virginia",51053,90.0,20552,"1318 of 3139"
"Holt County, Nebraska",31089,90.0,6984,"1318 of 3139"
"Independence County, Arkansas",05063,90.0,27229,"1318 of 3139"
"Lawrence County, Indiana",18093,90.0,31957,"1318 of 3139"
"Magoffin County, Kentucky",21153,90.0,8835,"1318 of 3139"
"Meagher County, Montana",30059,90.0,1128,"1318 of 3139"
"Moffat County, Colorado",08081,90.0,9887,"1318 of 3139"
"Morgan County, Indiana",18109,90.0,52118,"1318 of 3139"
"Osage County, Kansas",20139,90.0,11284,"1318 of 3139"
"Ripley County, Indiana",18137,90.0,20652,"1318 of 3139"
"San Miguel County, New Mexico",35047,90.0,17940,"1318 of 3139"
"Sully County, South Dakota",46119,90.0,932,"1318 of 3139"
"Tillamook County, Oregon",41057,90.0,17318,"1318 of 3139"
"Acadia Parish, Louisiana",22001,89.9,46301,"1338 of 3139"
"Allen Parish, Louisiana",22003,89.9,15937,"1338 of 3139"
"Assumption Parish, Louisiana",22007,89.9,15822,"1338 of 3139"
"Box Elder County, Utah",49003,89.9,43172,"1338 of 3139"
"Clay County, Arkansas",05021,89.9,10051,"1338 of 3139"
"Colfax County, New Mexico",35007,89.9,7458,"1338 of 3139"
"Crook County, Oregon",41013,89.9,16127,"1338 of 3139"
"Denver County, Colorado",08031,89.9,563170,"1338 of 3139"
"Divide County, North Dakota",38023,89.9,1513,"1338 of 3139"
"Dodge County, Nebraska",31053,89.9,25530,"1338 of 3139"
"Doniphan County, Kansas",20043,89.9,5130,"1338 of 3139"
"Ellis County, Kansas",20051,89.9,20793,"1338 of 3139"
"Flathead County, Montana",30029,89.9,73847,"1338 of 3139"
"Hanson County, South Dakota",46061,89.9,2614,"1338 of 3139"
"Logan County, Arkansas",05083,89.9,15027,"1338 of 3139"
"Meade County, South Dakota",46093,89.9,20650,"1338 of 3139"
"Merrick County, Nebraska",31121,89.9,5415,"1338 of 3139"
"Mitchell County, Kansas",20123,89.9,3924,"1338 of 3139"
"Park County, Montana",30067,89.9,11356,"1338 of 3139"
"Platte County, Nebraska",31141,89.9,24436,"1338 of 3139"
"Roane County, West Virginia",54087,89.9,9397,"1338 of 3139"
"Rockbridge County, Virginia",51163,89.9,14399,"1338 of 3139"
"Summit County, Utah",49043,89.9,33365,"1338 of 3139"
"Sussex County, Virginia",51183,89.9,5889,"1338 of 3139"
"Tippecanoe County, Indiana",18157,89.9,140835,"1338 of 3139"
"Trinity County, California",06105,89.9,7701,"1338 of 3139"
"Tuscaloosa County, Alabama",01125,89.9,154095,"1338 of 3139"
"Wake County, North Carolina",37183,89.9,866829,"1338 of 3139"
"Warren County, Virginia",51187,89.9,29589,"1338 of 3139"
"Waynesboro City, Virginia",51820,89.9,16501,"1338 of 3139"
"White County, Arkansas",05145,89.9,56236,"1338 of 3139"
"Amherst County, Virginia",51009,89.8,21409,"1369 of 3139"
"Antelope County, Nebraska",31003,89.8,4238,"1369 of 3139"
"Baxter County, Arkansas",05005,89.8,25735,"1369 of 3139"
"Buena Vista County, Iowa",19021,89.8,13977,"1369 of 3139"
"Cameron Parish, Louisiana",22023,89.8,5177,"1369 of 3139"
"Cass County, Illinois",17017,89.8,8822,"1369 of 3139"
"Catahoula Parish, Louisiana",22025,89.8,6235,"1369 of 3139"
"Codington County, South Dakota",46029,89.8,20392,"1369 of 3139"
"Craighead County, Arkansas",05031,89.8,82055,"1369 of 3139"
"Davis County, Iowa",19051,89.8,6597,"1369 of 3139"
"Davison County, South Dakota",46035,89.8,13849,"1369 of 3139"
"Deer Lodge County, Montana",30023,89.8,5642,"1369 of 3139"
"Franklin County, Nebraska",31061,89.8,1896,"1369 of 3139"
"Jefferson Davis Parish, Louisiana",22053,89.8,23182,"1369 of 3139"
"Kane County, Illinois",17089,89.8,406035,"1369 of 3139"
"Kane County, Utah",49025,89.8,5142,"1369 of 3139"
"Keith County, Nebraska",31101,89.8,5200,"1369 of 3139"
"McIntosh County, North Dakota",38051,89.8,1501,"1369 of 3139"
"Moore County, Tennessee",47127,89.8,4526,"1369 of 3139"
"Newton County, Arkansas",05101,89.8,5013,"1369 of 3139"
"Orleans Parish, Louisiana",22071,89.8,284007,"1369 of 3139"
"Pike County, Indiana",18125,89.8,8731,"1369 of 3139"
"Pointe Coupee Parish, Louisiana",22077,89.8,15229,"1369 of 3139"
"Prince Georges County, Maryland",24033,89.8,682725,"1369 of 3139"
"Scott County, Virginia",51169,89.8,13896,"1369 of 3139"
"Shenandoah County, Virginia",51171,89.8,30171,"1369 of 3139"
"St. Clair County, Alabama",01115,89.8,65748,"1369 of 3139"
"St. Joseph County, Indiana",18141,89.8,195009,"1369 of 3139"
"Valley County, Montana",30105,89.8,5019,"1369 of 3139"
"Vinton County, Ohio",39163,89.8,9454,"1369 of 3139"
"Beltrami County, Minnesota",27007,89.7,33558,"1399 of 3139"
"Box Butte County, Nebraska",31013,89.7,7717,"1399 of 3139"
"Campbell County, Virginia",51031,89.7,38698,"1399 of 3139"
"Cass County, Minnesota",27021,89.7,19277,"1399 of 3139"
"Delaware County, Indiana",18035,89.7,77320,"1399 of 3139"
"Dickenson County, Virginia",51051,89.7,9398,"1399 of 3139"
"Douglas County, Nebraska",31055,89.7,434218,"1399 of 3139"
"Fleming County, Kentucky",21069,89.7,10607,"1399 of 3139"
"Franklin County, Virginia",51067,89.7,37121,"1399 of 3139"
"Hardy County, West Virginia",54031,89.7,9483,"1399 of 3139"
"Harney County, Oregon",41025,89.7,4766,"1399 of 3139"
"Josephine County, Oregon",41033,89.7,55852,"1399 of 3139"
"Kidder County, North Dakota",38043,89.7,1639,"1399 of 3139"
"LaPorte County, Indiana",18091,89.7,74599,"1399 of 3139"
"Monroe County, Kentucky",21171,89.7,7581,"1399 of 3139"
"Natchitoches Parish, Louisiana",22069,89.7,26471,"1399 of 3139"
"Nicholas County, Kentucky",21181,89.7,5318,"1399 of 3139"
"Queens County, New York",36081,89.7,1673971,"1399 of 3139"
"Riley County, Kansas",20161,89.7,50961,"1399 of 3139"
"Tuscarawas County, Ohio",39157,89.7,65496,"1399 of 3139"
"Union Parish, Louisiana",22111,89.7,15231,"1399 of 3139"
"Vigo County, Indiana",18167,89.7,71871,"1399 of 3139"
"Webster County, Kentucky",21233,89.7,9187,"1399 of 3139"
"Cole County, Missouri",29051,89.6,52829,"1422 of 3139"
"Fredericksburg City, Virginia",51630,89.6,20558,"1422 of 3139"
"Green County, Kentucky",21087,89.6,7648,"1422 of 3139"
"Hampshire County, West Virginia",54027,89.6,15529,"1422 of 3139"
"Johnson County, Nebraska",31097,89.6,2779,"1422 of 3139"
"Lincoln County, Colorado",08073,89.6,3278,"1422 of 3139"
"Logan County, Kansas",20109,89.6,1955,"1422 of 3139"
"Marion County, Oregon",41047,89.6,250930,"1422 of 3139"
"Mineral County, Montana",30061,89.6,2727,"1422 of 3139"
"Monroe County, West Virginia",54063,89.6,8791,"1422 of 3139"
"Norfolk City, Virginia",51710,89.6,160657,"1422 of 3139"
"Orange County, Virginia",51137,89.6,25865,"1422 of 3139"
"Rutherford County, Tennessee",47149,89.6,262489,"1422 of 3139"
"St. Landry Parish, Louisiana",22097,89.6,60374,"1422 of 3139"
"Sumner County, Tennessee",47165,89.6,143612,"1422 of 3139"
"Sussex County, Delaware",10005,89.6,147386,"1422 of 3139"
"Tazewell County, Virginia",51185,89.6,26554,"1422 of 3139"
"Tipton County, Tennessee",47167,89.6,46093,"1422 of 3139"
"Treasure County, Montana",30103,89.6,440,"1422 of 3139"
"Ventura County, California",06111,89.6,629720,"1422 of 3139"
"Washington Parish, Louisiana",22117,89.6,32215,"1422 of 3139"
"White Pine County, Nevada",32033,89.6,5898,"1422 of 3139"
"Bath County, Virginia",51017,89.5,2654,"1444 of 3139"
"Brown County, Indiana",18013,89.5,10039,"1444 of 3139"
"Butte County, Idaho",16023,89.5,1753,"1444 of 3139"
"Caribou County, Idaho",16029,89.5,5295,"1444 of 3139"
"Cumberland County, Virginia",51049,89.5,6767,"1444 of 3139"
"Dolores County, Colorado",08033,89.5,1337,"1444 of 3139"
"East Baton Rouge Parish, Louisiana",22033,89.5,326725,"1444 of 3139"
"Grant Parish, Louisiana",22043,89.5,14362,"1444 of 3139"
"Greene County, Indiana",18055,89.5,22649,"1444 of 3139"
"Halifax County with South Boston City, Virginia",51083,89.5,22210,"1444 of 3139"
"Hidalgo County, New Mexico",35023,89.5,2845,"1444 of 3139"
"Kennebec County, Maine",23011,89.5,84435,"1444 of 3139"
"Kiowa County, Colorado",08061,89.5,947,"1444 of 3139"
"Orange County, North Carolina",37135,89.5,104889,"1444 of 3139"
"Steuben County, Indiana",18151,89.5,23375,"1444 of 3139"
"Tensas Parish, Louisiana",22107,89.5,2834,"1444 of 3139"
"Tooele County, Utah",49045,89.5,58220,"1444 of 3139"
"Wabash County, Indiana",18169,89.5,20639,"1444 of 3139"
"Allen County, Indiana",18003,89.4,284026,"1462 of 3139"
"Avoyelles Parish, Louisiana",22009,89.4,26993,"1462 of 3139"
"Cleburne County, Arkansas",05023,89.4,16056,"1462 of 3139"
"Coshocton County, Ohio",39031,89.4,25918,"1462 of 3139"
"Cowley County, Kansas",20035,89.4,23777,"1462 of 3139"
"Dawes County, Nebraska",31045,89.4,5562,"1462 of 3139"
"Dixon County, Nebraska",31051,89.4,3932,"1462 of 3139"
"Forest County, Wisconsin",55041,89.4,6060,"1462 of 3139"
"Mason County, Washington",53045,89.4,43123,"1462 of 3139"
"Mendocino County, California",06045,89.4,58371,"1462 of 3139"
"Mono County, California",06051,89.4,10632,"1462 of 3139"
"Onslow County, North Carolina",37133,89.4,140899,"1462 of 3139"
"Oscoda County, Michigan",26135,89.4,5262,"1462 of 3139"
"Petersburg City, Virginia",51730,89.4,22537,"1462 of 3139"
"Pitkin County, Colorado",08097,89.4,12708,"1462 of 3139"
"Polk County, Nebraska",31143,89.4,3539,"1462 of 3139"
"Quay County, New Mexico",35037,89.4,5355,"1462 of 3139"
"Rich County, Utah",49033,89.4,1796,"1462 of 3139"
"Roane County, Tennessee",47145,89.4,36241,"1462 of 3139"
"San Juan County, Washington",53055,89.4,10065,"1462 of 3139"
"Schoolcraft County, Michigan",26153,89.4,5187,"1462 of 3139"
"St. Martin Parish, Louisiana",22099,89.4,39581,"1462 of 3139"
"Starke County, Indiana",18149,89.4,16493,"1462 of 3139"
"Ste. Genevieve County, Missouri",29186,89.4,12649,"1462 of 3139"
"Vanderburgh County, Indiana",18163,89.4,129021,"1462 of 3139"
"Washington County, Colorado",08121,89.4,3253,"1462 of 3139"
"Washington County, Virginia",51191,89.4,35218,"1462 of 3139"
"Ashland County, Ohio",39005,89.3,36832,"1489 of 3139"
"Atlantic County, New Jersey",34001,89.3,187148,"1489 of 3139"
"Bayfield County, Wisconsin",55007,89.3,9478,"1489 of 3139"
"Beaverhead County, Montana",30001,89.3,6183,"1489 of 3139"
"Broadwater County, Montana",30007,89.3,4197,"1489 of 3139"
"Carroll County, Indiana",18015,89.3,14403,"1489 of 3139"
"Charlottesville City, Virginia",51540,89.3,35183,"1489 of 3139"
"Chattahoochee County, Georgia",13053,89.3,6925,"1489 of 3139"
"Claiborne Parish, Louisiana",22027,89.3,8725,"1489 of 3139"
"De Soto Parish, Louisiana",22031,89.3,19790,"1489 of 3139"
"Deuel County, Nebraska",31049,89.3,1214,"1489 of 3139"
"Hughes County, South Dakota",46065,89.3,12385,"1489 of 3139"
"Jefferson County, Alabama",01073,89.3,479474,"1489 of 3139"
"Kingsbury County, South Dakota",46077,89.3,3343,"1489 of 3139"
"Klamath County, Oregon",41035,89.3,45824,"1489 of 3139"
"Knox County, Tennessee",47093,89.3,343735,"1489 of 3139"
"Lee County, Alabama",01081,89.3,124409,"1489 of 3139"
"Macon County, Alabama",01087,89.3,11245,"1489 of 3139"
"Madison County, Indiana",18095,89.3,88536,"1489 of 3139"
"Nuckolls County, Nebraska",31129,89.3,2668,"1489 of 3139"
"Poinsett County, Arkansas",05111,89.3,16796,"1489 of 3139"
"Rapides Parish, Louisiana",22079,89.3,93499,"1489 of 3139"
"Richland County, Montana",30083,89.3,8212,"1489 of 3139"
"Saline County, Kansas",20169,89.3,38553,"1489 of 3139"
"Thomas County, Kansas",20193,89.3,5452,"1489 of 3139"
"Towner County, North Dakota",38095,89.3,1450,"1489 of 3139"
"Turner County, South Dakota",46125,89.3,5839,"1489 of 3139"
"Union County, Indiana",18161,89.3,5008,"1489 of 3139"
"Wallace County, Kansas",20199,89.3,1015,"1489 of 3139"
"Westmoreland County, Virginia",51193,89.3,11830,"1489 of 3139"
"Allendale County, South Carolina",45005,89.2,5101,"1519 of 3139"
"Anderson County, Kansas",20003,89.2,5427,"1519 of 3139"
"Bourbon County, Kansas",20011,89.2,9992,"1519 of 3139"
"Casey County, Kentucky",21045,89.2,10987,"1519 of 3139"
"Colbert County, Alabama",01033,89.2,39165,"1519 of 3139"
"Evangeline Parish, Louisiana",22039,89.2,23852,"1519 of 3139"
"Franklin County, Arkansas",05047,89.2,12522,"1519 of 3139"
"Greene County, Virginia",51079,89.2,14447,"1519 of 3139"
"Harvey County, Kansas",20079,89.2,23766,"1519 of 3139"
"Izard County, Arkansas",05065,89.2,8175,"1519 of 3139"
"Latah County, Idaho",16057,89.2,28476,"1519 of 3139"
"Lowndes County, Alabama",01085,89.2,6817,"1519 of 3139"
"Pacific County, Washington",53049,89.2,13266,"1519 of 3139"
"Pulaski County, Indiana",18131,89.2,8635,"1519 of 3139"
"St. Bernard Parish, Louisiana",22087,89.2,36549,"1519 of 3139"
"Tangipahoa Parish, Louisiana",22105,89.2,98914,"1519 of 3139"
"Baldwin County, Alabama",01003,89.1,155898,"1535 of 3139"
"Bent County, Colorado",08011,89.1,2581,"1535 of 3139"
"Bernalillo County, New Mexico",35001,89.1,494248,"1535 of 3139"
"Bonneville County, Idaho",16019,89.1,91009,"1535 of 3139"
"Brown County, Kansas",20013,89.1,6667,"1535 of 3139"
"Clay County, Nebraska",31035,89.1,4338,"1535 of 3139"
"Cook County, Illinois",17031,89.1,3826659,"1535 of 3139"
"Desha County, Arkansas",05041,89.1,7943,"1535 of 3139"
"Douglas County, Illinois",17041,89.1,14040,"1535 of 3139"
"Forsyth County, Georgia",13117,89.1,193156,"1535 of 3139"
"Harris County, Georgia",13145,89.1,25192,"1535 of 3139"
"Klickitat County, Washington",53039,89.1,14857,"1535 of 3139"
"LaMoure County, North Dakota",38045,89.1,2604,"1535 of 3139"
"Lee County, Virginia",51105,89.1,14816,"1535 of 3139"
"Lincoln County, Oregon",41041,89.1,30594,"1535 of 3139"
"Madison County, Mississippi",28089,89.1,80683,"1535 of 3139"
"Marion County, Arkansas",05089,89.1,10421,"1535 of 3139"
"Mesa County, Colorado",08077,89.1,106545,"1535 of 3139"
"Phillips County, Kansas",20147,89.1,3466,"1535 of 3139"
